用户ID,作者ID,信源级别,性别,精准地域,身份标签
DY_??第一时间??,914257445,未定义,无,浙江省,普通用户
DY_DDCD-ISP(杭州）中心,yunguan701008,未定义,无,湖北省,普通用户
DY_中智德科技集团,GA00088.,未定义,无,北京市,普通用户
DY_互联网推广? 陈小姐,1162048358,未定义,无,广东省,普通用户
DY_军伟,1991734213,未定义,无,其他,普通用户
DY_向死而生,Darren_Darren,未定义,无,浙江省,普通用户
DY_巩义文旅朱朱,29726713997,未定义,无,上海市,普通用户
DY_惠硕运管服平台,43192026831,未定义,无,安徽省,意见领袖
DY_新东方-晓光老师高考志愿规划,guang4339,未定义,无,北京市,普通用户
DY_星夜大数据,63106889723,未定义,无,上海市,普通用户
DY_爱天涯,aitianya9890,未定义,无,上海市,普通用户
DY_软考中项_系统集成项目管理工程师,80953468023,商业,无,浙江省,普通用户
DY_郑房新信息系统监理师,44835296548,商业,无,浙江省,普通用户
JRTT_986路上好朋友,63596016783,地市,无,辽宁省,意见领袖
JRTT_CEC中国电子,64191394683,未定义,无,广东省,普通用户
JRTT_Oo探索oO,8100394886,未定义,无,安徽省,普通用户
JRTT_ZP145757,2994707466036062,未定义,无,浙江省,普通用户
JRTT_i自然全媒体,3785658624,央级,无,浙江省,意见领袖
JRTT_上海杨浦,883631718405004,地市,无,上海市,意见领袖
JRTT_上观新闻,3721866747,省级,无,上海市,意见领袖
JRTT_中国小康网,6211302298,央级,无,江苏省,意见领袖
JRTT_中国建设报,2902316887317959,央级,无,辽宁省,意见领袖
JRTT_中国经济网,50502346296,央级,无,浙江省,意见领袖
JRTT_中国网,3350881978,央级,无,上海市,意见领袖
JRTT_中国质量新闻,4221967978,央级,无,湖北省,意见领袖
JRTT_二泉网,62429936501,商业,无,江苏省,普通用户
JRTT_人大国发院,69223967752,未定义,无,北京市,意见领袖
JRTT_人民日报评论,5722070530,央级,无,河北省,普通用户
JRTT_人民网,50502346173,央级,无,浙江省,意见领袖
JRTT_光明日报,5744321132,央级,无,四川省,意见领袖
JRTT_光明网,5806115967,央级,无,四川省,意见领袖
JRTT_全国党媒信息公共平台,5720019327,央级,无,浙江省,意见领袖
JRTT_全球行业报告圈,2898757396216236,未定义,无,山东省,普通用户
JRTT_写给山河日月N,1163704456456807,商业,无,浙江省,普通用户
JRTT_创新重庆,56219942808,省级,无,重庆市,意见领袖
JRTT_前瞻产业研究院,6555371542,未定义,无,上海市,普通用户
JRTT_动态宝,600809372132035,未定义,无,广东省,普通用户
JRTT_南威软件集团,102428277978,未定义,无,浙江省,普通用户
JRTT_南阳网,5753999620,地市,无,河南省,意见领袖
JRTT_厚雪研究,2634910884444076,未定义,无,上海市,普通用户
JRTT_合肥市人民政府发布,105901749759,地市,无,安徽省,意见领袖
JRTT_合肥检察,6011337789,地市,无,安徽省,意见领袖
JRTT_合肥观,1248645354892007,地市,无,安徽省,意见领袖
JRTT_吉林市发布,2043335471279246,未定义,无,吉林省,普通用户
JRTT_同花顺财经,3475422963,未定义,无,广东省,意见领袖
JRTT_周到客户端,5819492117,省级,无,上海市,意见领袖
JRTT_哲思文,1163759847998076,商业,无,广东省,普通用户
JRTT_国际在线,3528285997,央级,无,山东省,意见领袖
JRTT_多彩沙滩ywD,2826177743690499,未定义,无,上海市,普通用户
JRTT_大小新闻,5757263521,地市,无,山东省,意见领袖
JRTT_大海9056,5522045962,未定义,无,四川省,普通用户
JRTT_央视网, ,央级,无,山东省,意见领袖
JRTT_奇幻星球C,104845952866,未定义,无,上海市,普通用户
JRTT_宇潇,4334701128726323,未定义,无,上海市,普通用户
JRTT_小邰爱分享,92668138537,未定义,无,其他,普通用户
JRTT_广州日报,60783525276,地市,无,广东省,意见领袖
JRTT_建德检察,5801314833,地市,无,浙江省,意见领袖
JRTT_开封政法,50043541298,未定义,无,山东省,意见领袖
JRTT_投标鸭,4415268846318919,未定义,无,上海市,普通用户
JRTT_数据行者X,958371883661111,未定义,无,上海市,普通用户
JRTT_文汇,52239293810,省级,无,上海市,意见领袖
JRTT_新华三,2071105606780139,中小,无,陕西省,普通用户
JRTT_新华财经,3337110119,央级,无,上海市,意见领袖
JRTT_无忧智库,3337706473010892,未定义,无,上海市,普通用户
JRTT_无忧资源,3577802654,未定义,无,北京市,普通用户
JRTT_普华有策咨询,96133060841,未定义,无,上海市,普通用户
JRTT_杭州交通91.8,5808664971,地市,无,浙江省,意见领袖
JRTT_杭州综合频道,5494885598,地市,无,浙江省,意见领袖
JRTT_桓台县检察院,5234064122,未定义,无,山东省,意见领袖
JRTT_武汉市场监管,6981013315,地市,无,湖北省,意见领袖
JRTT_武汉新闻广播,50033191520,未定义,无,湖北省,意见领袖
JRTT_每日经济新闻,5770251897,地市,无,广东省,普通用户
JRTT_永宁县融媒体中心,104084918642,地市,无,宁夏回族自治区,意见领袖
JRTT_汇动信息,1090332209979949,未定义,无,其他,普通用户
JRTT_沈阳宣传,64237504801,地市,无,辽宁省,普通用户
JRTT_沈阳广电第一现场,51744904015,地市,无,辽宁省,意见领袖
JRTT_测绘学报,51990954601,未定义,无,重庆市,普通用户
JRTT_浙江大学继续教育学院,77683426513,未定义,无,浙江省,意见领袖
JRTT_海外网,3242684112,央级,无,浙江省,意见领袖
JRTT_海报新闻,107958836060,省级,无,山东省,意见领袖
JRTT_海默尔,67687156571,未定义,无,上海市,普通用户
JRTT_清华五道口周道许,201933271098439,未定义,无,广东省,普通用户
JRTT_滨州网,52689831547,地市,无,山东省,意见领袖
JRTT_潇湘晨报,3348826768,省级,无,湖南省,普通用户
JRTT_潮新闻,1455381541031324,省级,无,浙江省,意见领袖
JRTT_澎湃新闻,51045089537,省级,无,安徽省,意见领袖
JRTT_澎湃新闻客户端,28999977011200,省级,无,上海市,普通用户
