用户ID,作者ID,信源级别,性别,精准地域,身份标签
DY_??第一时间??_0,914257445,未定义,无,浙江省,普通用户
DY_DDCD-ISP(杭州）中心_1,yunguan701008,未定义,无,湖北省,普通用户
DY_中智德科技集团_2,GA00088.,未定义,无,北京市,普通用户
DY_互联网推广? 陈小姐_3,1162048358,未定义,无,广东省,普通用户
DY_军伟_4,1991734213,未定义,无,其他,普通用户
DY_向死而生_5,Darren_Darren,未定义,无,浙江省,普通用户
DY_巩义文旅朱朱_6,29726713997,未定义,无,上海市,普通用户
DY_惠硕运管服平台_7,43192026831,未定义,无,安徽省,意见领袖
DY_新东方-晓光老师高考志愿规划_8,guang4339,未定义,无,北京市,普通用户
DY_星夜大数据_9,63106889723,未定义,无,上海市,普通用户
DY_爱天涯_10,aitianya9890,未定义,无,上海市,普通用户
DY_软考中项_系统集成项目管理工程师_11,80953468023,商业,无,浙江省,普通用户
DY_郑房新信息系统监理师_12,44835296548,商业,无,浙江省,普通用户
JRTT_986路上好朋友_13,63596016783,地市,无,辽宁省,意见领袖
JRTT_CEC中国电子_14,64191394683,未定义,无,广东省,普通用户
JRTT_Oo探索oO_15,8100394886,未定义,无,安徽省,普通用户
JRTT_ZP145757_16,2994707466036062,未定义,无,浙江省,普通用户
JRTT_i自然全媒体_17,3785658624,央级,无,浙江省,意见领袖
JRTT_上海杨浦_18,883631718405004,地市,无,上海市,意见领袖
JRTT_上观新闻_19,3721866747,省级,无,上海市,意见领袖
JRTT_中国小康网_20,6211302298,央级,无,江苏省,意见领袖
JRTT_中国建设报_21,2902316887317959,央级,无,辽宁省,意见领袖
JRTT_中国经济网_22,50502346296,央级,无,浙江省,意见领袖
JRTT_中国网_23,3350881978,央级,无,上海市,意见领袖
JRTT_中国质量新闻_24,4221967978,央级,无,湖北省,意见领袖
JRTT_二泉网_25,62429936501,商业,无,江苏省,普通用户
JRTT_人大国发院_26,69223967752,未定义,无,北京市,意见领袖
JRTT_人民日报评论_27,5722070530,央级,无,河北省,普通用户
JRTT_人民网_28,50502346173,央级,无,浙江省,意见领袖
JRTT_光明日报_29,5744321132,央级,无,四川省,意见领袖
JRTT_光明网_30,5806115967,央级,无,四川省,意见领袖
JRTT_全国党媒信息公共平台_31,5720019327,央级,无,浙江省,意见领袖
JRTT_全球行业报告圈_32,2898757396216236,未定义,无,山东省,普通用户
JRTT_写给山河日月N_33,1163704456456807,商业,无,浙江省,普通用户
JRTT_创新重庆_34,56219942808,省级,无,重庆市,意见领袖
JRTT_前瞻产业研究院_35,6555371542,未定义,无,上海市,普通用户
JRTT_动态宝_36,600809372132035,未定义,无,广东省,普通用户
JRTT_南威软件集团_37,102428277978,未定义,无,浙江省,普通用户
JRTT_南阳网_38,5753999620,地市,无,河南省,意见领袖
JRTT_厚雪研究_39,2634910884444076,未定义,无,上海市,普通用户
JRTT_合肥市人民政府发布_40,105901749759,地市,无,安徽省,意见领袖
