帖子ID,平台ID,平台名称,媒体类型
WB_202409201542_0,P_0,微博,微博
WB_202409201539_1,P_0,微博,微博
WB_202409201542_2,P_0,微博,微博
WB_202409201526_3,P_0,微博,微博
WB_202409201542_4,P_0,微博,微博
WB_202409201543_5,P_0,微博,微博
WB_202409201539_6,P_0,微博,微博
WB_202409201515_7,P_0,微博,微博
WB_202409201538_8,P_0,微博,微博
WB_202409201539_9,P_0,微博,微博
WB_202409201542_10,P_0,微博,微博
WB_202409201542_11,P_0,微博,微博
WB_202409201512_12,P_0,微博,微博
WB_202409201525_13,P_0,微博,微博
WB_202409201543_14,P_0,微博,微博
WB_202409201542_15,P_0,微博,微博
WB_202409201536_16,P_0,微博,微博
WB_202409201539_17,P_0,微博,微博
WB_202409201540_18,P_0,微博,微博
WB_202409201512_19,P_0,微博,微博
WB_202409201512_20,P_0,微博,微博
WB_202409201515_21,P_0,微博,微博
WB_202409201514_22,P_0,微博,微博
WB_202409201543_23,P_0,微博,微博
WB_202409201520_24,P_0,微博,微博
WB_202409201539_25,P_0,微博,微博
WB_202409201539_26,P_0,微博,微博
WB_202409201522_27,P_0,微博,微博
WB_202409201515_28,P_0,微博,微博
WB_202409201515_29,P_0,微博,微博
WB_202409201513_30,P_0,微博,微博
WB_202409201519_31,P_0,微博,微博
WB_202409201542_32,P_0,微博,微博
WB_202409201512_33,P_0,微博,微博
WB_202409201515_34,P_0,微博,微博
WB_202409201519_35,P_0,微博,微博
WB_202409201542_36,P_0,微博,微博
WB_202409201542_37,P_0,微博,微博
WB_202409201543_38,P_0,微博,微博
WB_202409201539_39,P_0,微博,微博
WB_202409201518_40,P_0,微博,微博
WB_202409201516_41,P_0,微博,微博
WB_202409201516_42,P_0,微博,微博
WB_202409201538_43,P_0,微博,微博
WB_202409201538_44,P_0,微博,微博
WB_202409201539_45,P_0,微博,微博
WB_202409201536_46,P_0,微博,微博
WB_202409201515_47,P_0,微博,微博
WB_202409201542_48,P_0,微博,微博
WB_202409201515_49,P_0,微博,微博
WB_202409201519_50,P_0,微博,微博
WB_202409201516_51,P_0,微博,微博
WB_202409201524_52,P_0,微博,微博
WB_202409201525_53,P_0,微博,微博
WB_202409201535_54,P_0,微博,微博
WB_202409201535_55,P_0,微博,微博
WB_202409201536_56,P_0,微博,微博
WB_202409201543_57,P_0,微博,微博
WB_202409201536_58,P_0,微博,微博
WB_202409201515_59,P_0,微博,微博
WB_202409201535_60,P_0,微博,微博
XHS_202409241641_61,P_1,小红书,客户端
DY_202409182032_62,P_2,抖音,视频
DY_202409182152_63,P_2,抖音,视频
WB_202409230225_64,P_0,微博,微博
WB_202409191738_65,P_0,微博,微博
XHS_202409192310_66,P_1,小红书,客户端
WB_202409201516_67,P_0,微博,微博
WB_202409201535_68,P_0,微博,微博
WB_202409201542_69,P_0,微博,微博
WB_202409201539_70,P_0,微博,微博
JRTT_202409231238_71,P_3,今日头条,客户端
WB_202409201539_72,P_0,微博,微博
WB_202409201512_73,P_0,微博,微博
WB_202409201543_74,P_0,微博,微博
WB_202409201539_75,P_0,微博,微博
WB_202409201543_76,P_0,微博,微博
WB_202409201516_77,P_0,微博,微博
WB_202409201515_78,P_0,微博,微博
WB_202409201522_79,P_0,微博,微博
WB_202409201522_80,P_0,微博,微博
WB_202409201522_83,P_0,微博,微博
DY_202409201755_84,P_2,抖音,视频
WB_202409201539_85,P_0,微博,微博
WB_202409201539_86,P_0,微博,微博
WB_202409201539_87,P_0,微博,微博
WB_202409201535_88,P_0,微博,微博
WB_202409201539_89,P_0,微博,微博
WB_202409201543_90,P_0,微博,微博
DY_202409221242_91,P_2,抖音,视频
DY_202409220919_92,P_2,抖音,视频
KS_202409210122_93,P_4,快手,视频
WB_202409202144_94,P_0,微博,微博
WB_202409202144_95,P_0,微博,微博
WB_202409202144_96,P_0,微博,微博
WB_202409202144_97,P_0,微博,微博
WB_202409202144_98,P_0,微博,微博
WB_202409202144_99,P_0,微博,微博
WB_202409202144_100,P_0,微博,微博
WB_202409202144_101,P_0,微博,微博
WB_202409202144_102,P_0,微博,微博
WB_202409202144_103,P_0,微博,微博
WB_202409202144_104,P_0,微博,微博
WB_202409202144_105,P_0,微博,微博
WB_202409202144_106,P_0,微博,微博
WB_202409202144_107,P_0,微博,微博
WB_202409202144_108,P_0,微博,微博
WB_202409202144_109,P_0,微博,微博
WB_202409202144_110,P_0,微博,微博
WB_202409202144_111,P_0,微博,微博
WB_202409202144_112,P_0,微博,微博
WB_202409202144_113,P_0,微博,微博
WB_202409202144_114,P_0,微博,微博
WB_202409202144_115,P_0,微博,微博
WB_202409202144_116,P_0,微博,微博
WB_202409202144_117,P_0,微博,微博
WB_202409202144_118,P_0,微博,微博
WB_202409202144_119,P_0,微博,微博
WB_202409202144_120,P_0,微博,微博
WB_202409202144_121,P_0,微博,微博
WB_202409202144_122,P_0,微博,微博
WB_202409171429_123,P_0,微博,微博
DY_202409211256_124,P_2,抖音,视频
WB_202409171407_125,P_0,微博,微博
KS_202407261205_126,P_4,快手,视频
KS_202407191005_127,P_4,快手,视频
JRTT_202407270952_128,P_3,今日头条,客户端
DY_202407221045_129,P_2,抖音,视频
KS_202407261811_131,P_4,快手,视频
JRTT_202407250835_132,P_3,今日头条,客户端
WB_202407260720_133,P_0,微博,微博
DY_202407211709_134,P_2,抖音,视频
JRTT_202407231430_135,P_3,今日头条,客户端
WB_202407201652_136,P_0,微博,微博
