用户ID,平台ID,帖子ID,原文作者,作者ID,根微博作者,认证类型,粉丝数,微博数,信源级别,性别,精准地域
WB_ANDREAkiki31945,P_0,WB_202409201542_0,ANDREAkiki31945,7934269170,三联生活周刊,普通用户,522,10973.0,未定义,男,江西省
WB_janejanetl48464,P_0,WB_202409201539_1,janejanetl48464,7934179146,三联生活周刊,普通用户,525,10674.0,未定义,男,江西省
WB_Arthurku04486,P_0,WB_202409201542_2,Arthurku04486,7933906069,三联生活周刊,普通用户,538,10670.0,未定义,男,江西省
WB_zzzling55421,P_0,WB_202409201526_3,zzzling55421,7934361162,三联生活周刊,普通用户,541,10755.0,未定义,男,江西省
WB_南梦破碎HEOK,P_0,WB_202409201542_4,南梦破碎HEOK,7947270091,三联生活周刊,普通用户,536,8300.0,未定义,女,江西省
WB_NotErase21716,P_0,WB_202409201543_5,NotErase21716,7934269274,三联生活周刊,普通用户,528,9210.0,未定义,男,江西省
WB_打酱油KBY,P_0,WB_202409201539_6,打酱油KBY,7947468429,三联生活周刊,普通用户,0,1484.0,未定义,女,江西省
WB_打酱油KBY,P_0,WB_202409201515_7,打酱油KBY,7947468429,三联生活周刊,普通用户,0,1484.0,未定义,女,江西省
WB_猜不透LGN,P_0,WB_202409201538_8,猜不透LGN,7947368912,三联生活周刊,普通用户,527,8195.0,未定义,女,江西省
WB_无需青丝成雪时LSB,P_0,WB_202409201539_9,无需青丝成雪时LSB,7947469302,三联生活周刊,普通用户,1,1458.0,未定义,女,江西省
WB_单身有害健康NGW,P_0,WB_202409201542_10,单身有害健康NGW,7947467629,三联生活周刊,普通用户,0,1575.0,未定义,女,江西省
WB_亚洲首帅ICS,P_0,WB_202409201542_11,亚洲首帅ICS,7947468317,三联生活周刊,普通用户,536,7827.0,未定义,女,江西省
WB_angelaanki31542,P_0,WB_202409201512_12,angelaanki31542,7934087071,三联生活周刊,普通用户,522,10487.0,未定义,男,江西省
WB_一路迷惘EK1,P_0,WB_202409201525_13,一路迷惘EK1,7945250454,三联生活周刊,普通用户,524,3044.0,未定义,女,江西省
WB_CANnyHoo61790,P_0,WB_202409201543_14,CANnyHoo61790,7933906157,三联生活周刊,普通用户,537,10820.0,未定义,男,江西省
WB_janicehu17046,P_0,WB_202409201542_15,janicehu17046,7934361007,三联生活周刊,普通用户,546,10704.0,未定义,男,江西省
WB_lighttop80988,P_0,WB_202409201536_16,lighttop80988,7934361157,三联生活周刊,普通用户,526,10716.0,未定义,男,江西省
WB_lovegod24056,P_0,WB_202409201539_17,lovegod24056,7934087111,三联生活周刊,普通用户,531,10811.0,未定义,男,江西省
WB_cwcrystal42903,P_0,WB_202409201540_18,cwcrystal42903,7934361138,三联生活周刊,普通用户,531,10854.0,未定义,男,江西省
WB_對著太陽說日FTZX,P_0,WB_202409201512_19,對著太陽說日FTZX,7947270857,三联生活周刊,普通用户,543,8533.0,未定义,女,江西省
WB_独饮孟婆汤RGU,P_0,WB_202409201512_20,独饮孟婆汤RGU,7947468723,三联生活周刊,普通用户,540,7884.0,未定义,女,江西省
WB_kinghill40545,P_0,WB_202409201515_21,kinghill40545,7934179082,三联生活周刊,普通用户,529,10399.0,未定义,男,江西省
WB_SOPHIA15433943,P_0,WB_202409201514_22,SOPHIA15433943,7933907145,三联生活周刊,普通用户,521,11203.0,未定义,男,江西省
WB_catherine88893,P_0,WB_202409201543_23,catherine88893,7934179097,三联生活周刊,普通用户,531,9400.0,未定义,男,江西省
WB_carmanpan76550,P_0,WB_202409201520_24,carmanpan76550,7934179155,三联生活周刊,普通用户,543,11011.0,未定义,男,江西省
WB_xiaowen35196,P_0,WB_202409201539_25,xiaowen35196,7933906054,三联生活周刊,普通用户,533,10970.0,未定义,男,江西省
WB_姐的美你不配拥有LHG,P_0,WB_202409201539_26,姐的美你不配拥有LHG,7947173068,三联生活周刊,普通用户,544,8422.0,未定义,女,江西省
WB_单身有害健康NGW,P_0,WB_202409201522_27,单身有害健康NGW,7947467629,三联生活周刊,普通用户,0,1575.0,未定义,女,江西省
WB_joaphia92516,P_0,WB_202409201515_28,joaphia92516,7933995152,三联生活周刊,普通用户,530,10923.0,未定义,男,江西省
WB_OCathyO47191,P_0,WB_202409201515_29,OCathyO47191,7934361084,三联生活周刊,普通用户,538,10473.0,未定义,男,江西省
WB_Arthurku04486,P_0,WB_202409201513_30,Arthurku04486,7933906069,三联生活周刊,普通用户,538,10670.0,未定义,男,江西省
WB_angelaanki31542,P_0,WB_202409201519_31,angelaanki31542,7934087071,三联生活周刊,普通用户,522,10487.0,未定义,男,江西省
WB_chocobo89509,P_0,WB_202409201542_32,chocobo89509,7934087078,三联生活周刊,普通用户,546,10936.0,未定义,男,江西省
WB_那天字路口SKKM,P_0,WB_202409201512_33,那天字路口SKKM,7946058954,三联生活周刊,普通用户,527,7780.0,未定义,女,江西省
WB_那天字路口SKKM,P_0,WB_202409201515_34,那天字路口SKKM,7946058954,三联生活周刊,普通用户,527,7780.0,未定义,女,江西省
WB_cwcrystal42903,P_0,WB_202409201519_35,cwcrystal42903,7934361138,三联生活周刊,普通用户,531,10854.0,未定义,男,江西省
WB_tatatable69823,P_0,WB_202409201542_36,tatatable69823,7933995035,三联生活周刊,普通用户,540,9624.0,未定义,男,江西省
WB_OCathyO47191,P_0,WB_202409201542_37,OCathyO47191,7934361084,三联生活周刊,普通用户,538,10473.0,未定义,男,江西省
WB_yanheelynr55756,P_0,WB_202409201543_38,yanheelynr55756,7933906059,三联生活周刊,普通用户,536,10507.0,未定义,男,江西省
WB_SOULMATE62449,P_0,WB_202409201539_39,SOULMATE62449,7933907147,三联生活周刊,普通用户,521,10513.0,未定义,男,江西省
WB_独饮孟婆汤RGU,P_0,WB_202409201518_40,独饮孟婆汤RGU,7947468723,三联生活周刊,普通用户,540,7884.0,未定义,女,江西省
WB_每早起来都会换发型BZJE,P_0,WB_202409201516_41,每早起来都会换发型BZJE,7945184843,三联生活周刊,普通用户,543,4330.0,未定义,女,江西省
WB_世当戮灭TOFK,P_0,WB_202409201516_42,世当戮灭TOFK,7947171931,三联生活周刊,普通用户,523,8379.0,未定义,女,江西省
WB_efeeling21504,P_0,WB_202409201538_43,efeeling21504,7934362085,三联生活周刊,普通用户,532,9399.0,未定义,男,江西省
WB_月亮的猪耳朵TJY,P_0,WB_202409201538_44,月亮的猪耳朵TJY,7947370861,三联生活周刊,普通用户,524,7826.0,未定义,女,江西省
WB_yancheng28671,P_0,WB_202409201539_45,yancheng28671,7934087037,三联生活周刊,普通用户,536,10689.0,未定义,男,江西省
WB_babyfox27279,P_0,WB_202409201536_46,babyfox27279,7934087033,三联生活周刊,普通用户,528,10898.0,未定义,男,江西省
WB_用户7934362172,P_0,WB_202409201515_47,用户7934362172,7934362172,三联生活周刊,普通用户,538,9962.0,未定义,男,江西省
WB_老婆不管娶谁RUNF,P_0,WB_202409201542_48,老婆不管娶谁RUNF,7947158771,三联生活周刊,普通用户,535,7288.0,未定义,女,江西省
WB_Infinity36574,P_0,WB_202409201515_49,Infinity36574,7934362013,三联生活周刊,普通用户,541,11030.0,未定义,男,江西省
WB_月亮的猪耳朵TJY,P_0,WB_202409201519_50,月亮的猪耳朵TJY,7947370861,三联生活周刊,普通用户,524,7826.0,未定义,女,江西省
WB_qiongjane48660,P_0,WB_202409201516_51,qiongjane48660,7933907137,三联生活周刊,普通用户,535,6449.0,未定义,男,江西省
WB_chocobo89509,P_0,WB_202409201524_52,chocobo89509,7934087078,三联生活周刊,普通用户,546,10936.0,未定义,男,江西省
WB_Infinity36574,P_0,WB_202409201525_53,Infinity36574,7934362013,三联生活周刊,普通用户,541,11030.0,未定义,男,江西省
WB_OCathyO47191,P_0,WB_202409201535_54,OCathyO47191,7934361084,三联生活周刊,普通用户,538,10473.0,未定义,男,江西省
WB_yancheng28671,P_0,WB_202409201535_55,yancheng28671,7934087037,三联生活周刊,普通用户,536,10689.0,未定义,男,江西省
WB_raphile26168,P_0,WB_202409201536_56,raphile26168,7934179113,三联生活周刊,普通用户,530,10860.0,未定义,男,江西省
WB_Wiithout34864,P_0,WB_202409201543_57,Wiithout34864,7934271132,三联生活周刊,普通用户,534,10890.0,未定义,男,江西省
WB_hamsoft14966,P_0,WB_202409201536_58,hamsoft14966,7934086182,三联生活周刊,普通用户,534,10771.0,未定义,男,江西省
WB_ANDREAkiki31945,P_0,WB_202409201515_59,ANDREAkiki31945,7934269170,三联生活周刊,普通用户,522,10973.0,未定义,男,江西省
WB_单身有害健康NGW,P_0,WB_202409201535_60,单身有害健康NGW,7947467629,三联生活周刊,普通用户,0,1575.0,未定义,女,江西省
XHS_语清～,P_1,XHS_202409241641_61,语清～,26543200653, ,普通用户,0,0.0,未定义,无,江西省
DY_>?< ko最可爱我不管>?<,P_2,DY_202409182032_62,>?< ko最可爱我不管>?<,77609998401, ,普通用户,43,11.0,未定义,无,广东省
DY_慧生活,P_2,DY_202409182152_63,慧生活,1744563131I, ,普通用户,45,2.0,未定义,无,河北省
WB_舞夜武尊,P_0,WB_202409230225_64,舞夜武尊,6015266871, ,普通用户,4482,1137.0,未定义,男,台湾省
WB_神犬嘣叽,P_0,WB_202409191738_65,神犬嘣叽,2289146875,福尔摩酥酥,个人认证-橙V,49808,58559.0,未定义,女,上海市
XHS_阿赟,P_1,XHS_202409192310_66,阿赟,6357382309, ,普通用户,0,0.0,未定义,无,江西省
WB_spinkids53357,P_0,WB_202409201516_67,spinkids53357,7933906063,三联生活周刊,普通用户,538,10854.0,未定义,男,江西省
WB_janicehu17046,P_0,WB_202409201535_68,janicehu17046,7934361007,三联生活周刊,普通用户,546,10704.0,未定义,男,江西省
WB_babyfox27279,P_0,WB_202409201542_69,babyfox27279,7934087033,三联生活周刊,普通用户,528,10898.0,未定义,男,江西省
WB_joaphia92516,P_0,WB_202409201539_70,joaphia92516,7933995152,三联生活周刊,普通用户,530,10923.0,未定义,男,江西省
JRTT_娱记娱乐观察员,P_3,JRTT_202409231238_71,娱记娱乐观察员,93023019581, ,普通用户,0,69.0,未定义,无,河南省
WB_qiongjane48660,P_0,WB_202409201539_72,qiongjane48660,7933907137,三联生活周刊,普通用户,535,6449.0,未定义,男,江西省
WB_SOULMATE62449,P_0,WB_202409201512_73,SOULMATE62449,7933907147,三联生活周刊,普通用户,521,10513.0,未定义,男,江西省
WB_raphile26168,P_0,WB_202409201543_74,raphile26168,7934179113,三联生活周刊,普通用户,530,10860.0,未定义,男,江西省
WB_chenchi11581,P_0,WB_202409201539_75,chenchi11581,7933906062,三联生活周刊,普通用户,538,11050.0,未定义,男,江西省
WB_世当戮灭TOFK,P_0,WB_202409201543_76,世当戮灭TOFK,7947171931,三联生活周刊,普通用户,523,8379.0,未定义,女,江西省
WB_月亮的猪耳朵TJY,P_0,WB_202409201516_77,月亮的猪耳朵TJY,7947370861,三联生活周刊,普通用户,524,7826.0,未定义,女,江西省
