用户ID,作者ID,认证类型,粉丝数,微博数,信源级别,性别,精准地域
WB_ANDREAkiki31945,7934269170,普通用户,522,10973.0,未定义,男,江西省
WB_janejanetl48464,7934179146,普通用户,525,10674.0,未定义,男,江西省
WB_Arthurku04486,7933906069,普通用户,538,10670.0,未定义,男,江西省
WB_zzzling55421,7934361162,普通用户,541,10755.0,未定义,男,江西省
WB_南梦破碎HEOK,7947270091,普通用户,536,8300.0,未定义,女,江西省
WB_NotErase21716,7934269274,普通用户,528,9210.0,未定义,男,江西省
WB_打酱油KBY,7947468429,普通用户,0,1484.0,未定义,女,江西省
WB_猜不透LGN,7947368912,普通用户,527,8195.0,未定义,女,江西省
WB_无需青丝成雪时LSB,7947469302,普通用户,1,1458.0,未定义,女,江西省
WB_单身有害健康NGW,7947467629,普通用户,0,1575.0,未定义,女,江西省
WB_亚洲首帅ICS,7947468317,普通用户,536,7827.0,未定义,女,江西省
WB_angelaanki31542,7934087071,普通用户,522,10487.0,未定义,男,江西省
WB_一路迷惘EK1,7945250454,普通用户,524,3044.0,未定义,女,江西省
WB_CANnyHoo61790,7933906157,普通用户,537,10820.0,未定义,男,江西省
WB_janicehu17046,7934361007,普通用户,546,10704.0,未定义,男,江西省
WB_lighttop80988,7934361157,普通用户,526,10716.0,未定义,男,江西省
WB_lovegod24056,7934087111,普通用户,531,10811.0,未定义,男,江西省
WB_cwcrystal42903,7934361138,普通用户,531,10854.0,未定义,男,江西省
WB_對著太陽說日FTZX,7947270857,普通用户,543,8533.0,未定义,女,江西省
WB_独饮孟婆汤RGU,7947468723,普通用户,540,7884.0,未定义,女,江西省
WB_kinghill40545,7934179082,普通用户,529,10399.0,未定义,男,江西省
WB_SOPHIA15433943,7933907145,普通用户,521,11203.0,未定义,男,江西省
WB_catherine88893,7934179097,普通用户,531,9400.0,未定义,男,江西省
WB_carmanpan76550,7934179155,普通用户,543,11011.0,未定义,男,江西省
WB_xiaowen35196,7933906054,普通用户,533,10970.0,未定义,男,江西省
WB_姐的美你不配拥有LHG,7947173068,普通用户,544,8422.0,未定义,女,江西省
WB_joaphia92516,7933995152,普通用户,530,10923.0,未定义,男,江西省
WB_OCathyO47191,7934361084,普通用户,538,10473.0,未定义,男,江西省
WB_chocobo89509,7934087078,普通用户,546,10936.0,未定义,男,江西省
